Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
IRDM11;Títulos e Val. Mob.;127,95;3,29%;5,34%;1,3;2.814.900.000;9.220.480;0;0;0;0,00%;0,00%
JBFO11;Títulos e Val. Mob.;93,17;1,00%;0,00%;0,96;119.171.000;55.278;0;0;0;0,00%;0,00%
JFLL11;Residencial;88;1,49%;0,00%;0,91;132.053.000;97.373;2;9.002,59;140,97;1,57%;39,05%
JPPA11;Títulos e Val. Mob.;98,44;5,33%;4,36%;0,95;59.454.200;59.748;0;0;0;0,00%;0,00%
JPPC11;Híbrido;342,5;2,87%;3,35%;0,74;18.837.500;2.390;0;0;0;0,00%;0,00%
JRDM11;Shoppings;60,75;2,73%;0,82%;0,69;153.270.000;88.358;1;5.167,44;248,01;4,80%;4,74%
JSRE11;Híbrido;87,45;7,38%;4,09%;0,77;1.816.100.000;2.604.830;6;15.188,20;1.018,55;6,71%;11,59%
KFOF11;Títulos e Val. Mob.;86,1;4,15%;3,74%;0,83;390.318.000;734.062;0;0;0;0,00%;0,00%
KINP11;Residencial;13,85;-1,18%;5,22%;1,59;98.998.900;1.293;1;0;0;0,00%;0,00%
KISU11;Títulos e Val. Mob.;117,97;0,84%;0,00%;1,28;90.046.300;1.272.280;0;0;0;0,00%;0,00%
KNCR11;Títulos e Val. Mob.;86,87;4,88%;2,34%;0,88;3.396.360.000;5.188.000;0;0;0;0,00%;0,00%
KNHY11;Títulos e Val. Mob.;110;4,18%;5,36%;1,08;1.175.990.000;2.346.120;0;0;0;0,00%;0,00%
KNIP11;Títulos e Val. Mob.;106,61;4,41%;5,81%;1,03;5.025.040.000;10.263.100;0;0;0;0,00%;0,00%
KNRE11;Residencial;2,35;2,33%;7,96%;0,94;43.585.800;17.142;1;0;0;0,00%;0,00%
KNRI11;Híbrido;139;5,84%;3,21%;0,89;3.357.840.000;5.398.840;18;4.631,84;378,48;8,17%;0,26%
KNSC11;Títulos e Val. Mob.;100,08;0,59%;2,41%;1,05;643.510.000;3.998.800;0;0;0;0,00%;0,00%
LASC11;Shoppings;91,99;1,30%;3,03%;0,89;231.649.000;252.473;2;3.355,22;0;0,00%;2,57%
LATR11B;Residencial;150;-2,54%;10,98%;5,19;18.615.600;863;1;17.878,80;0;0,00%;0,00%
LFTT11;Residencial;108,24;-3,34%;2,90%;1,77;760.337.000;1.253.920;413;15.423,80;4,07;0,03%;0,00%
LGCP11;Logística;89,89;6,80%;3,66%;0,91;245.657.000;249.569;5;3.029,14;217,13;7,17%;0,00%
LUGG11;Residencial;93,35;9,20%;3,37%;0,85;84.015.000;51.064;4;3.796,57;536,53;14,13%;2,60%
LVBI11;Logística;103,88;5,06%;3,42%;0,94;1.223.210.000;2.747.920;8;2.183,79;151,18;6,92%;0,00%
MALL11;Shoppings;94,51;7,71%;2,53%;0,9;714.529.000;1.691.010;5;3.634,90;339,71;9,35%;5,36%
MAXR11;Híbrido;80,9;8,86%;5,98%;0,69;91.065.500;139.784;11;1.111,14;108,89;9,80%;0,00%
MBRF11;Outros;865,02;11,58%;6,20%;0,76;87.941.400;51.712;2;4.917,41;634,37;12,90%;0,00%
MCCI11;Títulos e Val. Mob.;102,06;0,00%;3,89%;1,01;911.131.000;4.260.150;0;0;0;0,00%;0,00%
MFAI11;Híbrido;91,73;0,02%;11,14%;0,97;27.810.100;93.337;0;0;0;0,00%;0,00%
