Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
BSLI3;34,15;27;6;0;0,99%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;22,22%;28.616,20;2.066.940.000,00;0;11,63%
KLBN4;5,1;27,19;9,34;2,234;0,00%;0,743;3,26;9,83;-1,34;17,29;9,53;22,73%;9,15%;2,92;10,41%;34,36%;9.810.060,00;3.066.890.000,00;9,87;13,32%
WSON33;66,21;27,38;1,94;2,461;7,34%;0,836;11,75;5,55;-2,13;8,1;8,1;44,34%;9,31%;1,67;17,26%;7,09%;2.974.450,00;2.429.610.000,00;1,08;4,40%
RPAD5;8,97;27,61;0,73;29.215,30;6,08%;0,732;61,98;-173,66;62,58;-170,42;-170,42;-16823,10%;105831,00%;5,25;-0,43%;2,66%;7.686,18;1.035.040.000,00;0;-37,72%
PTNT3;15,37;27,75;2,51;1,247;0,00%;0,951;4,78;16,91;-50,46;19,39;11,97;7,37%;6,22%;1,63;7,97%;9,06%;282.114,00;293.883.000,00;0,83;6,64%
DTEX3;23,25;28;3,2;2,48;3,22%;1,433;9,94;16;-7,25;17,87;10,81;15,49%;8,86%;1,69;11,41%;11,44%;52.399.900,00;5.023.510.000,00;0,62;12,96%
BLAU3;49;28,44;28,7;6,82;0,00%;6,154;18,91;19,41;-41,78;20,64;19,85;35,13%;23,98%;2,04;41,80%;100,91%;13.344.200,00;306.307.000,00;2,59;25,48%
KLBN11;26,71;28,48;9,79;2,34;0,00%;0,778;3,42;10,3;-1,4;17,76;9,79;22,73%;9,15%;2,92;10,41%;34,36%;202.395.000,00;3.066.890.000,00;9,87;13,32%
TUPY3;23,11;28,62;1,27;0,708;0,00%;0,514;1,58;10,1;-13,03;12,83;6,16;7,00%;2,47%;2,4;7,63%;4,44%;33.769.600,00;2.620.420.000,00;0,87;10,32%
MTRE3;11,58;28,63;1,23;2,732;3,86%;0,921;1,48;28,43;1,65;13,1;12,29;9,61%;9,77%;4,29;7,02%;4,30%;13.249.100,00;995.408.000,00;0,04;43,22%
SIMH3;59,11;29;5,35;1,21;0,58%;0,382;1,23;8,78;-0,89;17,96;10,22;13,78%;6,80%;3,25;7,19%;18,45%;30.832.000,00;2.281.230.000,00;10,35;0,00%
EQPA5;9,74;29,34;6,18;3,513;2,05%;1,706;7,66;14,79;-5,87;15,89;13,08;23,75%;11,97%;2,06;16,00%;21,06%;21.232,30;3.482.100.000,00;1,28;6,49%
CPLE5;45;29,48;6,4;6,326;2,83%;2,609;100,16;27,96;-7,59;29,49;24,11;22,62%;21,55%;1,12;10,42%;21,72%;19.608,00;19.237.500.000,00;0,5;9,60%
JPSA3;33,67;29,73;1,81;4,299;0,68%;0,424;2,86;10,06;-1,5;16,69;11,07;42,73%;30,79%;2,36;5,42%;6,08%;13.863.200,00;1.637.240.000,00;2,13;0,98%
ENAT3;18,65;30,16;1,79;5,931;1,04%;1,125;3,32;23,5;11,77;18,6;6,09;25,24%;19,66%;3,6;8,58%;5,95%;29.365.600,00;2.762.730.000,00;0,27;23,75%
FESA4;44,45;30,34;2,16;2,189;2,57%;1,386;8,55;9,71;-27,22;10,31;7,22;22,54%;7,23%;2,13;16,15%;7,13%;20.505.900,00;1.814.360.000,00;0,27;11,51%
PDTC3;6,71;30,59;5,11;3,109;0,00%;1,398;4,04;37,21;32,04;38,71;25,7;8,36%;10,17%;1,82;5,52%;16,71%;2.425.020,00;103.012.000,00;0,83;325,80%
IGTA3;40;30,61;2,22;10,278;0,71%;1,035;6,89;22,39;-3,77;28,28;19,2;45,91%;33,42%;2,39;5,95%;7,25%;97.869.800,00;3.181.060.000,00;1,06;0,97%
BRGE6;14,91;32,49;0,88;55,904;4,88%;0,359;0,84;-2,73;1,81;1,21;1,22;-2046,02%;251,44%;3,4;-27,33%;2,72%;287,55;1.241.560.000,00;0;-6,20%
CSAN3;24,43;32,98;4,55;3,111;1,05%;0,595;5;22,75;-1,2;38,51;27,65;13,68%;10,19%;2,16;3,02%;13,79%;250.803.000,00;10.070.900.000,00;3,94;21,73%
KLBN3;6,23;33,21;11,41;2,729;0,00%;0,907;3,99;12,01;-1,63;19,47;10,73;22,73%;9,15%;2,92;10,41%;34,36%;1.941.330,00;3.066.890.000,00;9,87;13,32%
BMKS3;238,87;33,25;0,58;4,83;3,32%;0,514;0,68;-52,99;0,77;17,42;153,24;-9,12%;14,53%;31,35;-3,34%;1,74%;64.827,50;187.458.000,00;0,02;6,17%
MNDL3;59,8;33,6;-1,05;0,264;0,00%;0,13;-0,24;2,59;-0,16;6,47;5,37;10,19%;0,79%;0,35;5,34%;-3,14%;168.034,00;-140.657.000,00;-1,61;6,42%
EVEN3;10,14;34,7;1,18;1,104;7,47%;0,379;0,82;6,76;1,55;3,51;3,42;16,33%;5,47%;2,43;7,69%;3,39%;14.222.400,00;1.828.290.000,00;0,23;6,18%
AFLT3;10,49;35,05;3,42;18,446;11,08%;3,13;12,02;33,56;15,88;31,81;31,58;54,97%;52,63%;13,16;11,29%;9,76%;21.595,00;193.540.000,00;0;7,93%
LIPR3;70,85;35,48;3,97;0;2,41%;3,294;11,1;-147,24;12,69;-130,18;-130,27;0,00%;0,00%;3,21;-4,23%;11,20%;38.174,80;209.730.000,00;0;0,00%
RENT3;64,46;37,62;7,55;4,742;0,59%;2,407;79,05;24,59;-5,56;28,07;21,86;19,29%;12,60%;1,14;12,68%;20,07%;333.997.000,00;6.475.660.000,00;1,6;22,57%
FESA3;55,5;37,88;2,7;2,734;1,87%;1,731;10,67;12,13;-33,99;12,73;8,9;22,54%;7,23%;2,13;16,15%;7,13%;39.887,80;1.814.360.000,00;0,27;11,51%
PGMN3;11,45;38,79;2,57;0,729;0,00%;0,883;3,95;14,49;-8,76;15,51;9,02;5,03%;1,88%;1,67;8,71%;6,63%;13.527.200,00;1.976.200.000,00;0,42;5,20%
HBTS5;60,99;39,12;1,78;4,926;0,27%;0,404;-13,48;7;-0,65;8,55;8,48;70,41%;12,56%;0,84;5,88%;4,56%;139.657,00;312.343.000,00;0,44;5,37%
POMO3;3,28;40,76;1,2;0,886;0,61%;0,521;2,19;19,57;-20,86;26,33;16,17;4,53%;1,86%;1,81;3,48%;2,94%;1.186.640,00;2.588.830.000,00;0,8;8,99%
LUXM4;73,85;41,55;4,03;3,612;8,50%;2,538;19,71;28,78;-23,15;28,93;13,5;12,55%;8,69%;1,98;10,51%;9,69%;36.358,90;95.320.000,00;0,24;3,03%
LREN3;43,39;41,56;7,27;5,374;0,76%;2,645;10,25;62,62;-33,78;64,18;28,03;8,58%;12,93%;1,86;5,77%;17,48%;443.552.000,00;5.365.470.000,00;0,72;4,13%
PRIO3;21,26;41,64;3,5;7,992;0,00%;1,999;10,71;27,44;205,74;26,71;12,06;29,13%;19,20%;1,74;11,42%;8,41%;243.685.000,00;5.335.220.000,00;0,52;56,49%
BPAN4;23,65;42,2;5,24;0;0,89%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;12,43%;144.346.000,00;5.434.150.000,00;0;12,98%
POMO4;3,53;43,87;1,29;0,954;0,57%;0,561;2,36;21,06;-22,45;27,82;17,09;4,53%;1,86%;1,81;3,48%;2,94%;20.730.000,00;2.588.830.000,00;0,8;8,99%
CCPR3;11,9;43,91;1,11;3,826;8,38%;0,375;6,47;7,68;-1,27;12,17;9,37;49,79%;25,55%;2,51;5,27%;2,53%;4.980.070,00;1.636.110.000,00;0,86;2,95%
BPAC3;19,08;45,04;7,2;0;0,50%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,98%;703.810,00;30.414.300.000,00;0;-1,17%
ESPA3;19,34;45,23;7,33;8,617;0,31%;2,897;11,41;52,09;-217,64;54,6;32,6;16,54%;17,92%;1,75;6,82%;16,21%;29.268.900,00;644.392.000,00;0,79;0,00%
CCRO3;13,42;45,92;3,16;2,474;2,05%;0,786;24,51;9,19;-1,57;13,76;7,39;26,92%;6,00%;1,16;10,61%;6,88%;148.240.000,00;8.576.580.000,00;2,29;1,69%
MOSI3;18,68;46,01;3,56;9,884;0,00%;3,257;4,31;45,67;4,34;35,16;31,3;21,64%;21,48%;10,25;37,84%;7,74%;26.747.800,00;663.824.000,00;0;0,00%
